ID,Type,SKU,Name,Published,Visibility in catalogue,Short description,Description,In stock?,Regular price,Categories,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
,variation,,Bento Cakes - Chocolate Bacon,1,visible,,,1,600.00,,,id:1820,11,Flavor,Chocolate Bacon,,0
1470,variable,,Butter Bacon,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Butter Bacon - Solo,1,visible,,,1,450.00,,,id:1470,1,Size,Solo,,0
,variation,,Butter Bacon - Sharing,1,visible,,,1,1000.00,,,id:1470,2,Size,Sharing,,0
,variation,,Butter Bacon - Party,1,visible,,,1,4000.00,,,id:1470,3,Size,Party,,0
1454,variable,,Carrot,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Carrot - Solo,1,visible,,,1,350.00,,,id:1454,1,Size,Solo,,0
,variation,,Carrot - Sharing,1,visible,,,1,750.00,,,id:1454,2,Size,Sharing,,0
,variation,,Carrot - Party,1,visible,,,1,3000.00,,,id:1454,3,Size,Party,,0
1474,variable,,Chocolate Bacon,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Chocolate Bacon - Solo,1,visible,,,1,450.00,,,id:1474,1,Size,Solo,,0
,variation,,Chocolate Bacon - Sharing,1,visible,,,1,1000.00,,,id:1474,2,Size,Sharing,,0
,variation,,Chocolate Bacon - Party,1,visible,,,1,4000.00,,,id:1474,3,Size,Party,,0
1450,variable,,Chocolate Caramel,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Chocolate Caramel - Solo,1,visible,,,1,300.00,,,id:1450,1,Size,Solo,,0
,variation,,Chocolate Caramel - Sharing,1,visible,,,1,700.00,,,id:1450,2,Size,Sharing,,0
,variation,,Chocolate Caramel - Party,1,visible,,,1,2500.00,,,id:1450,3,Size,Party,,0
1446,variable,,Chocolate Chip,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Chocolate Chip - Solo,1,visible,,,1,500.00,,,id:1446,1,Size,Solo,,0
,variation,,Chocolate Chip - Sharing,1,visible,,,1,1000.00,,,id:1446,2,Size,Sharing,,0
,variation,,Chocolate Chip - Party,1,visible,,,1,4000.00,,,id:1446,3,Size,Party,,0
1466,variable,,Dark Roast Coffee,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Dark Roast Coffee - Solo,1,visible,,,1,350.00,,,id:1466,1,Size,Solo,,0
,variation,,Dark Roast Coffee - Sharing,1,visible,,,1,750.00,,,id:1466,2,Size,Sharing,,0
,variation,,Dark Roast Coffee - Party,1,visible,,,1,2500.00,,,id:1466,3,Size,Party,,0
1438,variable,,Lemon Butter,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Lemon Butter - Solo,1,visible,,,1,300.00,,,id:1438,1,Size,Solo,,0
,variation,,Lemon Butter - Sharing,1,visible,,,1,700.00,,,id:1438,2,Size,Sharing,,0
,variation,,Lemon Butter - Party,1,visible,,,1,2500.00,,,id:1438,3,Size,Party,,0
1458,variable,,Matcha,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Matcha - Solo,1,visible,,,1,350.00,,,id:1458,1,Size,Solo,,0
,variation,,Matcha - Sharing,1,visible,,,1,750.00,,,id:1458,2,Size,Sharing,,0
,variation,,Matcha - Party,1,visible,,,1,3000.00,,,id:1458,3,Size,Party,,0
1442,variable,,Red Velvet,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Red Velvet - Solo,1,visible,,,1,300.00,,,id:1442,1,Size,Solo,,0
,variation,,Red Velvet - Sharing,1,visible,,,1,700.00,,,id:1442,2,Size,Sharing,,0
,variation,,Red Velvet - Party,1,visible,,,1,2500.00,,,id:1442,3,Size,Party,,0
1478,variable,,The Brownie,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,The Brownie - Solo,1,visible,,,1,500.00,,,id:1478,1,Size,Solo,,0
,variation,,The Brownie - Sharing,1,visible,,,1,1000.00,,,id:1478,2,Size,Sharing,,0
,variation,,The Brownie - Party,1,visible,,,1,4000.00,,,id:1478,3,Size,Party,,0
1866,variable,,Tiramisu,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Tiramisu - Solo,1,visible,,,1,350.00,,,id:1866,1,Size,Solo,,0
,variation,,Tiramisu - Sharing,1,visible,,,1,750.00,,,id:1866,2,Size,Sharing,,0
,variation,,Tiramisu - Party,1,visible,,,1,2500.00,,,id:1866,3,Size,Party,,0
1462,variable,,Ube Halaya,1,visible,,,1,,Cake Tins,,,0,Size,"Solo, Sharing, Party",1,0
,variation,,Ube Halaya - Solo,1,visible,,,1,350.00,,,id:1462,1,Size,Solo,,0
,variation,,Ube Halaya - Sharing,1,visible,,,1,750.00,,,id:1462,2,Size,Sharing,,0
,variation,,Ube Halaya - Party,1,visible,,,1,3000.00,,,id:1462,3,Size,Party,,0
2004,variable,,Almond Brownie,1,visible,(No Frosting),,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Almond Brownie - Regular,1,visible,,,1,80.00,,,id:2004,1,Size,Regular,,0
,variation,,Almond Brownie - Mini,1,visible,,,1,40.00,,,id:2004,2,Size,Mini,,0
2017,variable,,Banana Crumb,1,visible,(No Frosting),,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Banana Crumb - Regular,1,visible,,,1,80.00,,,id:2017,1,Size,Regular,,0
,variation,,Banana Crumb - Mini,1,visible,,,1,40.00,,,id:2017,2,Size,Mini,,0
2023,variable,,Banana Crumb + Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Banana Crumb + Buttercream - Regular,1,visible,,,1,95.00,,,id:2023,1,Size,Regular,,0
,variation,,Banana Crumb + Buttercream - Mini,1,visible,,,1,50.00,,,id:2023,2,Size,Mini,,0
2034,variable,,Butter Cake + Lemon Curd +Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Butter Cake + Lemon Curd +Buttercream - Regular,1,visible,,,1,110.00,,,id:2034,1,Size,Regular,,0
,variation,,Butter Cake + Lemon Curd +Buttercream - Mini,1,visible,,,1,50.00,,,id:2034,2,Size,Mini,,0
2044,variable,,Carrot + Cream Cheese,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Carrot + Cream Cheese - Regular,1,visible,,,1,120.00,,,id:2044,1,Size,Regular,,0
,variation,,Carrot + Cream Cheese - Mini,1,visible,,,1,50.00,,,id:2044,2,Size,Mini,,0
2050,variable,,Cheesecake,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Cheesecake - Regular,1,visible,,,1,140.00,,,id:2050,1,Size,Regular,,0
,variation,,Cheesecake - Mini,1,visible,,,1,70.00,,,id:2050,2,Size,Mini,,0
2060,variable,,Chiffon + Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Chiffon + Buttercream - Regular,1,visible,,,1,50.00,,,id:2060,1,Size,Regular,,0
,variation,,Chiffon + Buttercream - Mini,1,visible,,,1,30.00,,,id:2060,2,Size,Mini,,0
2069,variable,,Chiffon + Jam + Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Chiffon + Jam + Buttercream - Regular,1,visible,,,1,80.00,,,id:2069,1,Size,Regular,,0
,variation,,Chiffon + Jam + Buttercream - Mini,1,visible,,,1,40.00,,,id:2069,2,Size,Mini,,0
2097,variable,,Chocolate + Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Chocolate + Buttercream - Mini,1,visible,,,1,40.00,,,id:2097,1,Size,Mini,,0
,variation,,Chocolate + Buttercream - Regular,1,visible,,,1,95.00,,,id:2097,2,Size,Regular,,0
2084,variable,,Chocolate + Buttercream + Yema,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Chocolate + Buttercream + Yema - Mini,1,visible,,,1,50.00,,,id:2084,1,Size,Mini,,0
,variation,,Chocolate + Buttercream + Yema - Regular,1,visible,,,1,100.00,,,id:2084,2,Size,Regular,,0
2076,variable,,Chocolate Caramel,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Regular, Mini",1,0
,variation,,Chocolate Caramel - Regular,1,visible,,,1,140.00,,,id:2076,1,Size,Regular,,0
,variation,,Chocolate Caramel - Mini,1,visible,,,1,60.00,,,id:2076,2,Size,Mini,,0
2091,variable,,Chocolate Chip,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Chocolate Chip - Mini,1,visible,,,1,60.00,,,id:2091,1,Size,Mini,,0
,variation,,Chocolate Chip - Regular,1,visible,,,1,140.00,,,id:2091,2,Size,Regular,,0
2103,variable,,Dark Roast Coffee,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Dark Roast Coffee - Mini,1,visible,,,1,40.00,,,id:2103,1,Size,Mini,,0
,variation,,Dark Roast Coffee - Regular,1,visible,,,1,120.00,,,id:2103,2,Size,Regular,,0
2110,variable,,Ferrero,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Ferrero - Mini,1,visible,,,1,60.00,,,id:2110,1,Size,Mini,,0
,variation,,Ferrero - Regular,1,visible,,,1,140.00,,,id:2110,2,Size,Regular,,0
2117,variable,,Green Tea + White Chocolate,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Green Tea + White Chocolate - Mini,1,visible,,,1,50.00,,,id:2117,1,Size,Mini,,0
,variation,,Green Tea + White Chocolate - Regular,1,visible,,,1,120.00,,,id:2117,2,Size,Regular,,0
2123,variable,,Jack Black,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Jack Black - Mini,1,visible,,,1,60.00,,,id:2123,1,Size,Mini,,0
,variation,,Jack Black - Regular,1,visible,,,1,140.00,,,id:2123,2,Size,Regular,,0
2130,variable,,Kinder Bueno,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Kinder Bueno - Mini,1,visible,,,1,50.00,,,id:2130,1,Size,Mini,,0
,variation,,Kinder Bueno - Regular,1,visible,,,1,120.00,,,id:2130,2,Size,Regular,,0
2137,variable,,Lemon Butter + Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Lemon Butter + Buttercream - Mini,1,visible,,,1,40.00,,,id:2137,1,Size,Mini,,0
,variation,,Lemon Butter + Buttercream - Regular,1,visible,,,1,95.00,,,id:2137,2,Size,Regular,,0
2144,variable,,Oreo Red Velvet,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Oreo Red Velvet - Mini,1,visible,,,1,50.00,,,id:2144,1,Size,Mini,,0
,variation,,Oreo Red Velvet - Regular,1,visible,,,1,120.00,,,id:2144,2,Size,Regular,,0
2153,variable,,Oreo Surprise,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Oreo Surprise - Mini,1,visible,,,1,45.00,,,id:2153,1,Size,Mini,,0
,variation,,Oreo Surprise - Regular,1,visible,,,1,115.00,,,id:2153,2,Size,Regular,,0
2159,variable,,Peanut Butter Smores,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Peanut Butter Smores - Mini,1,visible,,,1,40.00,,,id:2159,1,Size,Mini,,0
,variation,,Peanut Butter Smores - Regular,1,visible,,,1,95.00,,,id:2159,2,Size,Regular,,0
2165,variable,,Red Velvet + Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Red Velvet + Buttercream - Mini,1,visible,,,1,40.00,,,id:2165,1,Size,Mini,,0
,variation,,Red Velvet + Buttercream - Regular,1,visible,,,1,95.00,,,id:2165,2,Size,Regular,,0
2171,variable,,Red Velvet + Cream Cheese,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Red Velvet + Cream Cheese - Mini,1,visible,,,1,50.00,,,id:2171,1,Size,Mini,,0
,variation,,Red Velvet + Cream Cheese - Regular,1,visible,,,1,120.00,,,id:2171,2,Size,Regular,,0
2177,variable,,Tiramisu + Mascarpone,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Tiramisu + Mascarpone - Mini,1,visible,,,1,55.00,,,id:2177,1,Size,Mini,,0
,variation,,Tiramisu + Mascarpone - Regular,1,visible,,,1,130.00,,,id:2177,2,Size,Regular,,0
2190,variable,,Ube + Swiss Buttercream,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Ube + Swiss Buttercream - Mini,1,visible,,,1,40.00,,,id:2190,1,Size,Mini,,0
,variation,,Ube + Swiss Buttercream - Regular,1,visible,,,1,95.00,,,id:2190,2,Size,Regular,,0
2184,variable,,Ube + Ube Mascarpone,1,visible,,,1,,Cupcake Flavors,,,0,Size,"Mini, Regular",1,0
,variation,,Ube + Ube Mascarpone - Mini,1,visible,,,1,50.00,,,id:2184,1,Size,Mini,,0
,variation,,Ube + Ube Mascarpone - Regular,1,visible,,,1,120.00,,,id:2184,2,Size,Regular,,0
1491,variable,,Buttercream,1,visible,Additional Options: Additional 3D Character – P500.00/Character Convert to 3-Dimensionall – *1.30 of the layer rate Convert to Gravity-Defying – *1.30 of the layer rate Cake Flavors: Red Velvet Chocolate Caramel Chocolate Chip Lemon Butter Butter Choco Yema Ube Dark Roast Coffee,,1,,Customize Cakes,,,0,Size,"6 Inches, 8 Inches, 10 Inches, 12 Inches, 14 Inches",1,0
,variation,,Buttercream - 6 Inches,1,visible,,,1,7000.00,,,id:1491,1,Size,6 Inches,,0
,variation,,Buttercream - 8 Inches,1,visible,,,1,8000.00,,,id:1491,2,Size,8 Inches,,0
,variation,,Buttercream - 10 Inches,1,visible,,,1,10000.00,,,id:1491,3,Size,10 Inches,,0
,variation,,Buttercream - 12 Inches,1,visible,,,1,12000.00,,,id:1491,4,Size,12 Inches,,0
,variation,,Buttercream - 14 Inches,1,visible,,,1,14000.00,,,id:1491,5,Size,14 Inches,,0
2199,simple,,Dessert Box,1,visible,"A heart-shaped piñata with a heart-shaped cake inside, 4 sugar cookies, 2 chocolate covered oreos and one cakesicle, surrounded with marshmallows, sprinkles and merigue cake. Flavors: Red Velvet, Chocolate, Carrot and Butter.",,1,3000.00,Customize Cakes,,,0,,,,
2473,variable,,Dummy Styro Layer,1,visible,,,1,,Customize Cakes,,,0,Size,"6 INCH Single, 8 INCH Single, 10 INCH Single, 12 INCH Single, 14 INCH Single, 6 INCH Additional, 8 INCH Additional, 10 INCH Additional, 12 INCH Additional, 14 INCH Additional",1,0
,variation,,Dummy Styro Layer - 6 INCH Single,1,visible,,,1,7000.00,,,id:2473,1,Size,6 INCH Single,,0
,variation,,Dummy Styro Layer - 8 INCH Single,1,visible,,,1,8000.00,,,id:2473,2,Size,8 INCH Single,,0
,variation,,Dummy Styro Layer - 10 INCH Single,1,visible,,,1,9000.00,,,id:2473,3,Size,10 INCH Single,,0
,variation,,Dummy Styro Layer - 12 INCH Single,1,visible,,,1,10000.00,,,id:2473,4,Size,12 INCH Single,,0
,variation,,Dummy Styro Layer - 14 INCH Single,1,visible,,,1,11000.00,,,id:2473,5,Size,14 INCH Single,,0
,variation,,Dummy Styro Layer - 6 INCH Additional,1,visible,,,1,5000.00,,,id:2473,6,Size,6 INCH Additional,,0
,variation,,Dummy Styro Layer - 8 INCH Additional,1,visible,,,1,6000.00,,,id:2473,7,Size,8 INCH Additional,,0
,variation,,Dummy Styro Layer - 10 INCH Additional,1,visible,,,1,7000.00,,,id:2473,8,Size,10 INCH Additional,,0
,variation,,Dummy Styro Layer - 12 INCH Additional,1,visible,,,1,8000.00,,,id:2473,9,Size,12 INCH Additional,,0
,variation,,Dummy Styro Layer - 14 INCH Additional,1,visible,,,1,9500.00,,,id:2473,10,Size,14 INCH Additional,,0
2228,variable,,Fondant/Ganache,1,visible,,,1,,Customize Cakes,,,0,Size,"6 INCH, 8 INCH, 9 INCH, 10 INCH, 12 INCH, 14 INCH",1,0
,variation,,Fondant/Ganache - 6 INCH,1,visible,,,1,9000.00,,,id:2228,1,Size,6 INCH,,0
,variation,,Fondant/Ganache - 8 INCH,1,visible,,,1,10000.00,,,id:2228,2,Size,8 INCH,,0
,variation,,Fondant/Ganache - 9 INCH,1,visible,,,1,12500.00,,,id:2228,3,Size,9 INCH,,0
